galaxy,ra_deg_icrs,dec_deg_icrs,ra_hms_icrs,dec_dms_icrs,coordinate_source,observation_programs,observation_ids,available_i2d_filters,cluster_or_group,membership_basis,membership_reference,distance_mpc,distance_stat_uncertainty_mpc,distance_systematic_uncertainty_mpc,distance_modulus_mag,distance_modulus_stat_uncertainty_mag,distance_method,distance_scope,distance_reference,distance_notes
IC 3442,187.8336000000,14.1154000000,12:31:20.064,+14:06:55.44,TARG_RA/TARG_DEC in data/IC 3442/jw07763-o055_t055_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o055_t055,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.904,0.623,1.100,31.140,0.080,HST/ACS z850 SBF (ACSVCS),individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510","Published ACSVCS SBF modulus; morphology=dE2,N; 1.1 Mpc common systematic listed separately."
IC 3443,187.8155529167,12.3317694444,12:31:15.733,+12:19:54.37,TARG_RA/TARG_DEC in data/IC 3443/jw07763-o076_t076_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o076_t076,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.500,0.600,1.100,31.087,,Virgo common-distance prior,cluster_prior_not_individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Not an individual distance. Adopted Virgo mean 16.5 Mpc; 0.6 Mpc cluster rms depth and 1.1 Mpc common systematic are listed as statistical/depth and systematic terms.
IC 3457,187.9638829167,12.6569944444,12:31:51.332,+12:39:25.18,TARG_RA/TARG_DEC in data/IC 3457/jw07763-o057_t057_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o057_t057,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.500,0.600,1.100,31.087,,Virgo common-distance prior,cluster_prior_not_individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Not an individual distance. Adopted Virgo mean 16.5 Mpc; 0.6 Mpc cluster rms depth and 1.1 Mpc common systematic are listed as statistical/depth and systematic terms.
IC 3461,188.0114108333,11.8900777778,12:32:02.739,+11:53:24.28,TARG_RA/TARG_DEC in data/IC 3461/jw07763-o059_t059_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o059_t059,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.749,0.386,1.100,31.120,0.050,HST/ACS z850 SBF (ACSVCS),individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510","Published ACSVCS SBF modulus; morphology=dE2,N; 1.1 Mpc common systematic listed separately."
IC 3466,188.0234741667,11.8176583333,12:32:05.634,+11:49:03.57,TARG_RA/TARG_DEC in data/IC 3466/jw07763-o068_t068_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o068_t068,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.500,0.600,1.100,31.087,,Virgo common-distance prior,cluster_prior_not_individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Not an individual distance. Adopted Virgo mean 16.5 Mpc; 0.6 Mpc cluster rms depth and 1.1 Mpc common systematic are listed as statistical/depth and systematic terms.
IC 3468,188.0592000000,10.2515000000,12:32:14.208,+10:15:05.40,TARG_RA/TARG_DEC in data/IC 3468/jw07763-o046_t046_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o046_t046,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,15.346,0.424,1.100,30.930,0.060,HST/ACS z850 SBF (ACSVCS),individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510","Published ACSVCS SBF modulus; morphology=E1,N:; 1.1 Mpc common systematic listed separately."
IC 3470,188.0975000000,11.2630000000,12:32:23.400,+11:15:46.80,TARG_RA/TARG_DEC in data/IC 3470/jw07763-o054_t054_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o054_t054,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.144,0.446,1.100,31.040,0.060,HST/ACS z850 SBF (ACSVCS),individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510","Published ACSVCS SBF modulus; morphology=dE0,N; 1.1 Mpc common systematic listed separately."
IC 3475,188.1700091667,12.7710861111,12:32:40.802,+12:46:15.91,TARG_RA/TARG_DEC in data/IC 3475/jw07763-o047_t047_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o047_t047,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.500,0.600,1.100,31.087,,Virgo common-distance prior,cluster_prior_not_individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Not an individual distance. Adopted Virgo mean 16.5 Mpc; 0.6 Mpc cluster rms depth and 1.1 Mpc common systematic are listed as statistical/depth and systematic terms.
IC 3486,188.3083808333,12.8578222222,12:33:14.011,+12:51:28.16,TARG_RA/TARG_DEC in data/IC 3486/jw07763-o060_t060_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o060_t060,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.500,0.600,1.100,31.087,,Virgo common-distance prior,cluster_prior_not_individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Not an individual distance. Adopted Virgo mean 16.5 Mpc; 0.6 Mpc cluster rms depth and 1.1 Mpc common systematic are listed as statistical/depth and systematic terms.
IC 3492,188.3324579167,12.8534638889,12:33:19.790,+12:51:12.47,TARG_RA/TARG_DEC in data/IC 3492/jw07763-o065_t065_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o065_t065,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.500,0.600,1.100,31.087,,Virgo common-distance prior,cluster_prior_not_individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Not an individual distance. Adopted Virgo mean 16.5 Mpc; 0.6 Mpc cluster rms depth and 1.1 Mpc common systematic are listed as statistical/depth and systematic terms.
IC 3501,188.4650791667,13.3224638889,12:33:51.619,+13:19:20.87,TARG_RA/TARG_DEC in data/IC 3501/jw07763-o053_t053_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o053_t053,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.293,0.450,1.100,31.060,0.060,HST/ACS z850 SBF (ACSVCS),individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Published ACSVCS SBF modulus; morphology=d:E1; 1.1 Mpc common systematic listed separately.
IC 3509,188.5480000000,12.0490000000,12:34:11.520,+12:02:56.40,TARG_RA/TARG_DEC in data/IC 3509/jw07763-o067_t067_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o067_t067,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.827,0.542,1.100,31.130,0.070,HST/ACS z850 SBF (ACSVCS),individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Published ACSVCS SBF modulus; morphology=E4; 1.1 Mpc common systematic listed separately.
IC 3586,189.2286000000,12.5200000000,12:36:54.864,+12:31:12.00,TARG_RA/TARG_DEC in data/IC 3586/jw07763-o052_t052_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o052_t052,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.520,0.609,1.100,31.090,0.080,HST/ACS z850 SBF (ACSVCS),individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Published ACSVCS SBF modulus; morphology=dS0:; 1.1 Mpc common systematic listed separately.
IC 3631,189.9501000000,12.9739000000,12:39:48.024,+12:58:26.04,TARG_RA/TARG_DEC in data/IC 3631/jw07763-o050_t050_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o050_t050,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.500,0.600,1.100,31.087,,Virgo common-distance prior,cluster_prior_not_individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Not an individual distance. Adopted Virgo mean 16.5 Mpc; 0.6 Mpc cluster rms depth and 1.1 Mpc common systematic are listed as statistical/depth and systematic terms.
IC 3635,190.0558000000,12.8747000000,12:40:13.392,+12:52:28.92,TARG_RA/TARG_DEC in data/IC 3635/jw07763-o069_t069_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o069_t069,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.827,0.620,1.100,31.130,0.080,HST/ACS z850 SBF (ACSVCS),individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510","Published ACSVCS SBF modulus; morphology=dE2,N; 1.1 Mpc common systematic listed separately."
NGC 1380,54.1149583333,-34.9763000000,03:36:27.590,-34:58:34.68,TARG_RA/TARG_DEC in data/NGC 1380/jw03055-o001_t001_nircam_clear-f150w_i2d.fits,JWST GO-3055,GO-3055:o001_t001,GO-3055:F090W+F150W+F277W+F356W,Fornax Cluster,GO-3055 TRGB-SBF target context; established Fornax membership,https://arxiv.org/abs/2603.11160,19.125,0.220,,31.408,0.025,JWST TRGB,individual,arXiv:2603.11160; TRGB-SBF Project IV Table distances,adopted Project IV thin-slice TRGB modulus; uncertainty excludes common NGC 4258 zero-point systematic as in table note
NGC 1399,54.6211791667,-35.4507416667,03:38:29.083,-35:27:02.67,TARG_RA/TARG_DEC in data/NGC 1399/jw03055-o002_t002_nircam_clear-f150w_i2d.fits,JWST GO-3055,GO-3055:o002_t002,GO-3055:F090W+F150W,Fornax Cluster,GO-3055 TRGB-SBF target context; established Fornax membership,https://arxiv.org/abs/2603.11160,19.934,0.239,,31.498,0.026,JWST TRGB,individual,arXiv:2603.11160; TRGB-SBF Project IV Table distances,adopted Project IV thin-slice TRGB modulus; uncertainty excludes common NGC 4258 zero-point systematic as in table note
NGC 1404,54.7163208333,-35.5943916667,03:38:51.917,-35:35:39.81,TARG_RA/TARG_DEC in data/NGC 1404/jw03055-o003_t003_nircam_clear-f150w_i2d.fits,JWST GO-3055,GO-3055:o003_t003,GO-3055:F090W+F150W+F277W+F356W,Fornax Cluster,GO-3055 TRGB-SBF target context; established Fornax membership,https://arxiv.org/abs/2603.11160,18.759,0.216,,31.366,0.025,JWST TRGB,individual,arXiv:2603.11160; TRGB-SBF Project IV Table distances,adopted Project IV thin-slice TRGB modulus; uncertainty excludes common NGC 4258 zero-point systematic as in table note
NGC 1549,63.9384291667,-55.5923611111,04:15:45.223,-55:35:32.50,TARG_RA/TARG_DEC in data/NGC 1549/jw03055-o012_t012_nircam_clear-f150w_i2d.fits,JWST GO-3055,GO-3055:o012_t012,GO-3055:F090W+F150W,Dorado Group,Published group membership,https://ui.adsabs.harvard.edu/abs/1990AJ.....99.1100B,17.628,0.211,,31.231,0.026,JWST TRGB,individual,arXiv:2603.11160; TRGB-SBF Project IV Table distances,adopted Project IV thin-slice TRGB modulus; uncertainty excludes common NGC 4258 zero-point systematic as in table note; no prior Project I/II literature modulus listed in Project IV table
NGC 3379,161.9566666667,12.5816305556,10:47:49.600,+12:34:53.87,TARG_RA/TARG_DEC in data/NGC 3379/jw03055-o013_t013_nircam_clear-f150w_i2d.fits,JWST GO-3055,GO-3055:o013_t013,GO-3055:F090W+F150W,Leo I Group (M96/M105 Group),Published group membership,https://arxiv.org/abs/2202.08193,10.366,0.134,,30.078,0.028,JWST TRGB,individual,arXiv:2603.11160; TRGB-SBF Project IV Table distances,adopted Project IV thin-slice TRGB modulus; uncertainty excludes common NGC 4258 zero-point systematic as in table note
NGC 4294,185.3242000000,11.5109000000,12:21:17.808,+11:30:39.24,TARG_RA/TARG_DEC in data/NGC 4294/jw07763-o025_t025_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o025_t025,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.500,0.600,1.100,31.087,,Virgo common-distance prior,cluster_prior_not_individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Not an individual distance. Adopted Virgo mean 16.5 Mpc; 0.6 Mpc cluster rms depth and 1.1 Mpc common systematic are listed as statistical/depth and systematic terms.
NGC 4299,185.4196000000,11.5017000000,12:21:40.704,+11:30:06.12,TARG_RA/TARG_DEC in data/NGC 4299/jw07763-o032_t032_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o032_t032,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.500,0.600,1.100,31.087,,Virgo common-distance prior,cluster_prior_not_individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Not an individual distance. Adopted Virgo mean 16.5 Mpc; 0.6 Mpc cluster rms depth and 1.1 Mpc common systematic are listed as statistical/depth and systematic terms.
NGC 4306,185.5172000000,12.7875000000,12:22:04.128,+12:47:15.00,TARG_RA/TARG_DEC in data/NGC 4306/jw07763-o038_t038_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o038_t038,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.500,0.600,1.100,31.087,,Virgo common-distance prior,cluster_prior_not_individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Not an individual distance. Adopted Virgo mean 16.5 Mpc; 0.6 Mpc cluster rms depth and 1.1 Mpc common systematic are listed as statistical/depth and systematic terms.
NGC 4313,185.6599000000,11.8013000000,12:22:38.376,+11:48:04.68,TARG_RA/TARG_DEC in data/NGC 4313/jw07763-o019_t019_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o019_t019,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.500,0.600,1.100,31.087,,Virgo common-distance prior,cluster_prior_not_individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Not an individual distance. Adopted Virgo mean 16.5 Mpc; 0.6 Mpc cluster rms depth and 1.1 Mpc common systematic are listed as statistical/depth and systematic terms.
NGC 4351,186.0054000000,12.2042000000,12:24:01.296,+12:12:15.12,TARG_RA/TARG_DEC in data/NGC 4351/jw07763-o039_t039_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o039_t039,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.500,0.600,1.100,31.087,,Virgo common-distance prior,cluster_prior_not_individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Not an individual distance. Adopted Virgo mean 16.5 Mpc; 0.6 Mpc cluster rms depth and 1.1 Mpc common systematic are listed as statistical/depth and systematic terms.
NGC 4352,186.0207000000,11.2181000000,12:24:04.968,+11:13:05.16,TARG_RA/TARG_DEC in data/NGC 4352/jw07763-o036_t036_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o036_t036,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,18.707,0.431,1.100,31.360,0.050,HST/ACS z850 SBF (ACSVCS),individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Published ACSVCS SBF modulus; morphology=S0_1_(8); 1.1 Mpc common systematic listed separately.
NGC 4371,186.2305000000,11.7042000000,12:24:55.320,+11:42:15.12,TARG_RA/TARG_DEC in data/NGC 4371/jw07763-o011_t011_nircam_clear-f150w_i2d.fits,JWST GO-7763 (J-Virgo),GO-7763:o011_t011,GO-7763:F115W+F150W,Virgo Cluster,GO-7763 J-Virgo target selection; membership not independently re-evaluated in this catalog,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/targets_additional_manifest.csv,16.982,0.469,1.100,31.150,0.060,HST/ACS z850 SBF (ACSVCS),individual,"Mei et al. 2007, ApJ 655, 144; arXiv:astro-ph/0702510",Published ACSVCS SBF modulus; morphology=SB0_2_(r)(3); 1.1 Mpc common systematic listed separately.
NGC 4374,186.2655966667,12.8869833333,12:25:03.743,+12:53:13.14,TARG_RA/TARG_DEC in data/NGC 4374/jw03055-o004_t004_nircam_clear-f150w_i2d.fits,JWST GO-3055; JWST GO-7763 (J-Virgo),GO-3055:o004_t004; GO-7763:o079_t079,GO-3055:F090W+F150W; GO-7763:no local i2d,Virgo Cluster,GO-3055 and GO-7763 target context; ACSVCS membership,https://arxiv.org/abs/astro-ph/0702510,16.688,0.207,,31.112,0.027,JWST TRGB,individual,arXiv:2603.11160; TRGB-SBF Project IV Table distances,adopted Project IV thin-slice TRGB modulus; uncertainty excludes common NGC 4258 zero-point systematic as in table note
