galaxy,environment,method,method_label,band,mu_mag,sigma_mu_internal_mag,sigma_mu_common_mag,sigma_mu_total_mag,distance_mpc,sigma_distance_internal_mpc,sigma_distance_common_mpc,sigma_distance_total_mpc,uncertainty_convention
NGC 4406,Virgo,jensen2015_f160w,Jensen et al. (2015),F160W,,,,,,,,,Final combined uncertainty supplied by the existing five-object reconstruction; internal/common split unavailable
NGC 4406,Virgo,this_work_f150w,This work,F150W,31.05402572014012,0.0883974822039601,0.04700000000000001,0.1001155075899805,16.248195803900035,0.661440409340351,0.3516808223934212,0.7491213626293434,Color-independent leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 4406,Virgo,this_work_f090w,This work,F090W,30.99263755632492,0.0590915359138647,0.047,0.0755037059796376,15.795286630168762,0.4298317321859648,0.3418779204214306,0.5492138294559499,Adopted linear-color leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 4472,Virgo,trgb_paper4,TRGB Paper IV,TRGB,31.016,0.027,0.047,0.05420332093147061,15.966142459934131,0.19852236875266352,0.345575975236118,0.39853969131764344,Individual Paper IV uncertainty plus the shared 0.047-mag TRGB scale
NGC 4472,Virgo,jensen_paper3_f110w,Jensen Paper III,F110W,31.03562,0.06866979539797684,0.063,0.09319088367431656,16.11105573266113,0.5094897342277089,0.46742316720651444,0.6914218730448081,"Measurement, color, slope and 0.060-mag population scatter; plus the 0.063-mag Paper III common scale, which already includes the 0.016-mag zero-point term"
NGC 4472,Virgo,jensen2015_f160w,Jensen et al. (2015),F160W,31.04618,,,0.1318739428393646,16.189595575972795,,,0.983197296093612,Final combined uncertainty supplied by the existing five-object reconstruction; internal/common split unavailable
NGC 4472,Virgo,this_work_f150w,This work,F150W,30.913385763200314,0.0859641658614914,0.04699999999999994,0.0979736587673544,15.229202191050598,0.6028930680179841,0.32962541906707,0.68711932614305,Color-independent leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 4472,Virgo,this_work_f090w,This work,F090W,30.976090815278543,0.0692276159655401,0.047,0.0836747441721354,15.675383079874155,0.4997389767471176,0.33928269202287964,0.6040296267456994,Adopted linear-color leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 4486,Virgo,trgb_paper4,TRGB Paper IV,TRGB,31.046,0.025,0.047,0.05323532661682466,16.18825362642106,0.18637415740901966,0.35038341592895694,0.39686756570418613,Individual Paper IV uncertainty plus the shared 0.047-mag TRGB scale
NGC 4486,Virgo,jensen_paper3_f110w,Jensen Paper III,F110W,,,,,,,,,"Measurement, color, slope and 0.060-mag population scatter; plus the 0.063-mag Paper III common scale, which already includes the 0.016-mag zero-point term"
NGC 4486,Virgo,jensen2015_f160w,Jensen et al. (2015),F160W,,,,,,,,,Final combined uncertainty supplied by the existing five-object reconstruction; internal/common split unavailable
NGC 4486,Virgo,this_work_f150w,This work,F150W,31.01347248077921,0.0995684195206928,0.04699999999999999,0.1101039062242965,15.947569230487648,0.7312431217259714,0.345173970688347,0.808617074462507,Color-independent leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 4486,Virgo,this_work_f090w,This work,F090W,30.995712162901786,0.0926007423970153,0.047,0.1038455463295292,15.817667153852607,0.674532043334566,0.3423623311873842,0.7564426239320241,Adopted linear-color leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 4552,Virgo,trgb_paper4,TRGB Paper IV,TRGB,30.923,0.028,0.047,0.05470831746635972,15.296779272301395,0.1972439611700404,0.3310880776782821,0.38538875878617496,Individual Paper IV uncertainty plus the shared 0.047-mag TRGB scale
NGC 4552,Virgo,jensen_paper3_f110w,Jensen Paper III,F110W,30.978859999999997,0.06877599872048387,0.063,0.09326916961139944,15.695385968742528,0.49711239275852015,0.45536351818122217,0.6741488446363172,"Measurement, color, slope and 0.060-mag population scatter; plus the 0.063-mag Paper III common scale, which already includes the 0.016-mag zero-point term"
NGC 4552,Virgo,jensen2015_f160w,Jensen et al. (2015),F160W,,,,,,,,,Final combined uncertainty supplied by the existing five-object reconstruction; internal/common split unavailable
NGC 4552,Virgo,this_work_f150w,This work,F150W,31.068700981837075,0.0791887353786153,0.04699999999999997,0.0920861325654648,16.358376379180413,0.5965533490721562,0.3540656038050951,0.6937134495503691,Color-independent leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 4552,Virgo,this_work_f090w,This work,F090W,30.98460449254001,0.0552124218959723,0.047,0.0725080101203918,15.73696208613224,0.4001320883713249,0.34061552650028143,0.5254756179286173,Adopted linear-color leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 4621,Virgo,trgb_paper4,TRGB Paper IV,TRGB,30.821,0.026,0.047,0.05371219600798314,14.59486223782621,0.1747507435602258,0.3158955748973313,0.36100946887106333,Individual Paper IV uncertainty plus the shared 0.047-mag TRGB scale
NGC 4621,Virgo,jensen_paper3_f110w,Jensen Paper III,F110W,,,,,,,,,"Measurement, color, slope and 0.060-mag population scatter; plus the 0.063-mag Paper III common scale, which already includes the 0.016-mag zero-point term"
NGC 4621,Virgo,jensen2015_f160w,Jensen et al. (2015),F160W,,,,,,,,,Final combined uncertainty supplied by the existing five-object reconstruction; internal/common split unavailable
NGC 4621,Virgo,this_work_f150w,This work,F150W,30.90150944924466,0.0855801148739424,0.046999999999999854,0.0976368581112541,15.146137315882411,0.5969259225718092,0.32782753799992087,0.681022357716173,Color-independent leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 4621,Virgo,this_work_f090w,This work,F090W,30.762104955722823,0.0547685410619914,0.047,0.0721705832736513,14.204337774881273,0.35825960913557514,0.30744294631316205,0.4720922714636338,Adopted linear-color leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 4636,Virgo,trgb_paper4,TRGB Paper IV,TRGB,31.07,0.026,0.047,0.05371219600798314,16.368165214278086,0.19598328475471413,0.3542774762873679,0.40487279250129155,Individual Paper IV uncertainty plus the shared 0.047-mag TRGB scale
NGC 4636,Virgo,jensen_paper3_f110w,Jensen Paper III,F110W,31.06048,0.06820474177064231,0.063,0.09284873073984372,16.296562253528798,0.5118659649462177,0.47280518853151327,0.6968152641645003,"Measurement, color, slope and 0.060-mag population scatter; plus the 0.063-mag Paper III common scale, which already includes the 0.016-mag zero-point term"
NGC 4636,Virgo,jensen2015_f160w,Jensen et al. (2015),F160W,,,,,,,,,Final combined uncertainty supplied by the existing five-object reconstruction; internal/common split unavailable
NGC 4636,Virgo,this_work_f150w,This work,F150W,31.100551985726028,0.08930143422999,0.04699999999999992,0.1009145487803083,16.60008826095886,0.6826758118369485,0.359297288257451,0.7714536962231723,Color-independent leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 4636,Virgo,this_work_f090w,This work,F090W,30.987005258079204,0.0589189883976555,0.047,0.0753687414901102,15.754370388848136,0.4274664334140417,0.3409923170245642,0.5468119530199597,Adopted linear-color leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 4649,Virgo,trgb_paper4,TRGB Paper IV,TRGB,31.009,0.025,0.047,0.05323532661682466,15.914756566438562,0.1832254061425527,0.34446376354799907,0.39016257361996576,Individual Paper IV uncertainty plus the shared 0.047-mag TRGB scale
NGC 4649,Virgo,jensen_paper3_f110w,Jensen Paper III,F110W,31.04564,0.07093728215825582,0.063,0.09487411659667772,16.18557006100947,0.528747381398147,0.4695850195355484,0.7071660935788698,"Measurement, color, slope and 0.060-mag population scatter; plus the 0.063-mag Paper III common scale, which already includes the 0.016-mag zero-point term"
NGC 4649,Virgo,jensen2015_f160w,Jensen et al. (2015),F160W,31.00098,,,0.1348043945871202,15.856086267711438,,,0.9843413623275817,Final combined uncertainty supplied by the existing five-object reconstruction; internal/common split unavailable
NGC 4649,Virgo,this_work_f150w,This work,F150W,31.086036701017747,0.0870437356578949,0.04700000000000002,0.0989222518813714,16.489494425407777,0.6609833897071117,0.35690356211655244,0.7511851929585588,Color-independent leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 4649,Virgo,this_work_f090w,This work,F090W,31.143750559431357,0.04821549457398,0.047,0.0673330076338009,16.933631781353558,0.37599530516416374,0.36651660423395216,0.5250779853361597,Adopted linear-color leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 4697,Virgo,trgb_paper4,TRGB Paper IV,TRGB,30.324,0.028,0.047,0.05470831746635972,11.609138701261834,0.14969376640974424,0.25127167933064215,0.29248193198140654,Individual Paper IV uncertainty plus the shared 0.047-mag TRGB scale
NGC 4697,Virgo,jensen_paper3_f110w,Jensen Paper III,F110W,30.33394,0.06817038946639516,0.063,0.09282349917989517,11.662401802297168,0.36612506311019466,0.33835627398480206,0.4985303701704866,"Measurement, color, slope and 0.060-mag population scatter; plus the 0.063-mag Paper III common scale, which already includes the 0.016-mag zero-point term"
NGC 4697,Virgo,jensen2015_f160w,Jensen et al. (2015),F160W,,,,,,,,,Final combined uncertainty supplied by the existing five-object reconstruction; internal/common split unavailable
NGC 4697,Virgo,this_work_f150w,This work,F150W,30.30108879815092,0.0892102167558158,0.04699999999999994,0.1008338374436857,11.48729461648122,0.47193049203995996,0.24863444942175955,0.5334205458700857,Color-independent leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
NGC 4697,Virgo,this_work_f090w,This work,F090W,30.237595084402052,0.0585274084577677,0.047,0.0750630237918935,11.15627001340112,0.3006934691308975,0.24146965364697467,0.3856477097175141,Adopted linear-color leave-one-out prediction; absolute error includes the shared 0.047-mag TRGB scale
