galaxy,aliases,source_class,source_articles,mention_count,mast_query_status,mast_error,jwst_obs_count,jwst_nircam_obs_count,jwst_filters,jwst_programs,has_public_nircam_f150w,has_public_nircam_f090w,recommended_for_sbf_extension,f150w_obsids,f090w_obsids,f150w_dataurls,f090w_dataurls
NGC 4472,M49,article_mentioned,Jensen2015;Jensen2015 Table1;Jensen2025;Jensen2025 Table1;TRGB-SBF Project II;TRGB-SBF-IV;previous_curated_table,7,ok,,4,4,F090W;F150W;F277W;F356W,3055,True,True,True,jw03055-o006_t006_nircam_clear-f150w,jw03055-o006_t006_nircam_clear-f090w,mast:JWST/product/jw03055-o006_t006_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o006_t006_nircam_clear-f090w_i2d.fits
NGC 4473,,fallback_early_type_seed,,0,ok,,3,3,F115W;F150W;F277W,7763,True,False,False,jw07763-o004_t004_nircam_clear-f150w,,mast:JWST/product/jw07763-o004_t004_nircam_clear-f150w_i2d.fits,
NGC 4486,M87,article_mentioned,Blakeslee2021;Blakeslee2021 Table4;TRGB-SBF Project II;TRGB-SBF-IV;previous_curated_table,12,ok,,52,10,F070W;F090W;F115W;F277W;F150W;F277W;F356W;F444W,3055;7763;9226,True,True,True,jw03055-o007_t007_nircam_clear-f150w,jw03055-o007_t007_nircam_clear-f090w,mast:JWST/product/jw03055-o007_t007_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o007_t007_nircam_clear-f090w_i2d.fits
NGC 4552,M89,article_mentioned,Jensen2025;Jensen2025 Table1;TRGB-SBF Project II;TRGB-SBF-IV;previous_curated_table,6,ok,,8,8,F090W;F115W;F277W;F150W;F277W;F356W,3055;7763,True,True,True,jw03055-o008_t008_nircam_clear-f150w,jw03055-o008_t008_nircam_clear-f090w,mast:JWST/product/jw03055-o008_t008_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o008_t008_nircam_clear-f090w_i2d.fits
NGC 4621,M59,article_mentioned,TRGB-SBF Project II target set;TRGB-SBF-IV;previous_curated_table,2,ok,,4,4,F090W;F150W;F277W;F356W,3055,True,True,True,jw03055-o009_t009_nircam_clear-f150w,jw03055-o009_t009_nircam_clear-f090w,mast:JWST/product/jw03055-o009_t009_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o009_t009_nircam_clear-f090w_i2d.fits
NGC 4636,,article_mentioned,Blakeslee2021 text;Jensen2015;Jensen2025;Jensen2025 Table1;TRGB-SBF Project II;TRGB-SBF-IV;previous_curated_table,7,ok,,4,4,F090W;F150W;F277W;F356W,3055,True,True,True,jw03055-o014_t014_nircam_clear-f150w,jw03055-o014_t014_nircam_clear-f090w,mast:JWST/product/jw03055-o014_t014_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o014_t014_nircam_clear-f090w_i2d.fits
NGC 4649,M60,article_mentioned,Blakeslee2021;Blakeslee2021 Table4;Jensen2015;Jensen2015 Table1;Jensen2025;Jensen2025 Table1;TRGB-SBF Project II;TRGB-SBF-IV;previous_curated_table,19,ok,,4,4,F090W;F150W;F277W;F356W,3055,True,True,True,jw03055-o010_t010_nircam_clear-f150w,jw03055-o010_t010_nircam_clear-f090w,mast:JWST/product/jw03055-o010_t010_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o010_t010_nircam_clear-f090w_i2d.fits
NGC 4697,,article_mentioned,Jensen2025;Jensen2025 Table1;TRGB-SBF Project II;TRGB-SBF-IV;previous_curated_table,5,ok,,6,4,F090W;F150W;F277W;F356W,3055,True,True,True,jw03055-o011_t011_nircam_clear-f150w,jw03055-o011_t011_nircam_clear-f090w,mast:JWST/product/jw03055-o011_t011_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o011_t011_nircam_clear-f090w_i2d.fits
NGC 4874,,article_mentioned,Blakeslee2021;Jensen2025,3,ok,,10,8,F150W;F356W,5989,True,False,False,jw05989-o007_t007_nircam_clear-f150w;jw05989-o006_t006_nircam_clear-f150w;jw05989-o008_t008_nircam_clear-f150w,,mast:JWST/product/jw05989-o007_t007_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw05989-o006_t006_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw05989-o008_t008_nircam_clear-f150w_i2d.fits,
NGC 5643,,article_mentioned,TRGB-SBF-IV,6,ok,,115,70,F090W;F115W;F150W;F150W2;F164N;F187N;F200W;F212N;F277W;F300M;F335M;F356W;F360M;F444W;F444W;F405N,1685;1995;3707;4793,True,True,True,jw01685-o011_t006_nircam_clear-f150w;jw01685-o012_t006_nircam_clear-f150w;jw03707-o114_t052_nircam_clear-f150w;jw04793-o017_t015_nircam_clear-f150w,jw01685-o011_t006_nircam_clear-f090w;jw01685-o012_t006_nircam_clear-f090w,mast:JWST/product/jw01685-o011_t006_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw01685-o012_t006_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw03707-o114_t052_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw04793-o017_t015_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw01685-o011_t006_nircam_clear-f090w_i2d.fits;mast:JWST/product/jw01685-o012_t006_nircam_clear-f090w_i2d.fits
