galaxy,source_articles,source_urls,already_processed,mast_query_status,mast_error,jwst_obs_count,jwst_nircam_obs_count,jwst_filters,jwst_programs,has_public_nircam_f150w,has_public_nircam_f090w,recommended_for_sbf_extension,f150w_obsids,f090w_obsids,f150w_dataurls,f090w_dataurls
NGC 3627,Tonry-SBF-survey,https://arxiv.org/abs/astro-ph/9609113,False,ok,,44,12,F150W;F150W2;F164N;F187N;F200W;F212N;F277W;F300M;F335M;F360M;F444W;F444W;F405N,2107;4793,True,False,False,jw04793-o011_t011_nircam_clear-f150w,,mast:JWST/product/jw04793-o011_t011_nircam_clear-f150w_i2d.fits,
NGC 383,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 3842,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,4,4,F150W;F356W,7113,False,False,False,,,,
NGC 4036,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,4,4,F090W;F150W;F277W;F356W,7034,False,False,False,,,,
NGC 4073,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 410,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 4278,Tonry-SBF-survey,https://arxiv.org/abs/astro-ph/9609113,False,ok,,0,0,,,False,False,False,,,,
NGC 4321,Tonry-SBF-survey,https://arxiv.org/abs/astro-ph/9609113,False,ok,,48,16,F150W;F150W2;F164N;F187N;F200W;F300M;F335M;F360M;F430M;F444W;F405N,2107;9246,False,False,False,,,,
NGC 4365,ACS-Virgo-SBF;Tonry-SBF-survey,https://arxiv.org/abs/astro-ph/0702510;https://arxiv.org/abs/astro-ph/9609113,False,ok,,0,0,,,False,False,False,,,,
NGC 4374,ACS-Virgo-SBF;Tonry-SBF-survey,https://arxiv.org/abs/astro-ph/0702510;https://arxiv.org/abs/astro-ph/9609113,True,ok,,6,6,F090W;F115W;F150W;F277W;F356W,3055;7763,True,True,True,jw03055-o004_t004_nircam_clear-f150w,jw03055-o004_t004_nircam_clear-f090w,mast:JWST/product/jw03055-o004_t004_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o004_t004_nircam_clear-f090w_i2d.fits
NGC 4379,ACS-Virgo-SBF,https://arxiv.org/abs/astro-ph/0702510,False,ok,,0,0,,,False,False,False,,,,
NGC 4382,ACS-Virgo-SBF,https://arxiv.org/abs/astro-ph/0702510,False,ok,,0,0,,,False,False,False,,,,
NGC 4386,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,4,4,F090W;F150W;F277W;F356W,7034,False,False,False,,,,
NGC 4387,ACS-Virgo-SBF,https://arxiv.org/abs/astro-ph/0702510,False,ok,,8,8,F115W;F277W;F150W;F277W,7763,False,False,False,,,,
NGC 4406,ACS-Virgo-SBF,https://arxiv.org/abs/astro-ph/0702510,True,ok,,8,8,F090W;F115W;F277W;F150W;F277W;F356W,3055;7763,True,True,True,jw03055-o005_t005_nircam_clear-f150w,jw03055-o005_t005_nircam_clear-f090w,mast:JWST/product/jw03055-o005_t005_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o005_t005_nircam_clear-f090w_i2d.fits
NGC 4434,ACS-Virgo-SBF,https://arxiv.org/abs/astro-ph/0702510,False,ok,,0,0,,,False,False,False,,,,
NGC 4458,ACS-Virgo-SBF,https://arxiv.org/abs/astro-ph/0702510,False,ok,,16,16,F115W;F277W;F150W;F277W,7763,False,False,False,,,,
NGC 4459,ACS-Virgo-SBF,https://arxiv.org/abs/astro-ph/0702510,False,ok,,8,8,F115W;F277W;F150W;F277W,7763,False,False,False,,,,
NGC 4472,ACS-Virgo-SBF,https://arxiv.org/abs/astro-ph/0702510,True,ok,,4,4,F090W;F150W;F277W;F356W,3055,True,True,True,jw03055-o006_t006_nircam_clear-f150w,jw03055-o006_t006_nircam_clear-f090w,mast:JWST/product/jw03055-o006_t006_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o006_t006_nircam_clear-f090w_i2d.fits
NGC 4473,ACS-Virgo-SBF,https://arxiv.org/abs/astro-ph/0702510,False,ok,,3,3,F115W;F150W;F277W,7763,True,False,False,jw07763-o004_t004_nircam_clear-f150w,,mast:JWST/product/jw07763-o004_t004_nircam_clear-f150w_i2d.fits,
NGC 4476,ACS-Virgo-SBF,https://arxiv.org/abs/astro-ph/0702510,False,ok,,8,8,F115W;F277W;F150W;F277W,7763,False,False,False,,,,
NGC 4478,ACS-Virgo-SBF,https://arxiv.org/abs/astro-ph/0702510,False,ok,,8,8,F115W;F277W;F150W;F277W,7763,False,False,False,,,,
NGC 4482,ACS-Virgo-SBF,https://arxiv.org/abs/astro-ph/0702510,False,ok,,11,8,F115W;F277W;F150W;F277W,7763,False,False,False,,,,
NGC 4486,ACS-Virgo-SBF,https://arxiv.org/abs/astro-ph/0702510,True,ok,,52,10,F070W;F090W;F115W;F277W;F150W;F277W;F356W;F444W,3055;7763;9226,True,True,True,jw03055-o007_t007_nircam_clear-f150w,jw03055-o007_t007_nircam_clear-f090w,mast:JWST/product/jw03055-o007_t007_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o007_t007_nircam_clear-f090w_i2d.fits
NGC 4489,ACS-Virgo-SBF,https://arxiv.org/abs/astro-ph/0702510,False,ok,,0,0,,,False,False,False,,,,
NGC 4494,Tonry-SBF-survey,https://arxiv.org/abs/astro-ph/9609113,False,ok,,0,0,,,False,False,False,,,,
NGC 4526,Tonry-SBF-survey,https://arxiv.org/abs/astro-ph/9609113,False,ok,,0,0,,,False,False,False,,,,
NGC 4536,Tonry-SBF-survey,https://arxiv.org/abs/astro-ph/9609113,False,ok,,8,6,F115W;F150W;F200W;F300M;F335M;F444W,1995;3707,True,False,False,jw03707-o076_t034_nircam_clear-f150w,,mast:JWST/product/jw03707-o076_t034_nircam_clear-f150w_i2d.fits,
NGC 4548,Tonry-SBF-survey,https://arxiv.org/abs/astro-ph/9609113,False,ok,,139,41,F115W;F115W;F410M;F115W;F480M;F150W;F150W2;F164N;F187N;F200W;F212N;F277W;F300M;F335M;F360M;F444W;F444W;F405N,10350;3707;4793;7763,True,False,False,jw03707-o080_t036_nircam_clear-f150w;jw04793-o013_t013_nircam_clear-f150w;jw07763-o003_t003_nircam_clear-f150w,,mast:JWST/product/jw03707-o080_t036_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw04793-o013_t013_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw07763-o003_t003_nircam_clear-f150w_i2d.fits,
NGC 4550,ACS-Virgo-SBF,https://arxiv.org/abs/astro-ph/0702510,False,ok,,8,8,F115W;F277W;F150W;F277W,7763,False,False,False,,,,
NGC 4551,ACS-Virgo-SBF,https://arxiv.org/abs/astro-ph/0702510,False,ok,,16,16,F115W;F277W;F150W;F277W,7763,False,False,False,,,,
NGC 4552,ACS-Virgo-SBF,https://arxiv.org/abs/astro-ph/0702510,True,ok,,8,8,F090W;F115W;F277W;F150W;F277W;F356W,3055;7763,True,True,True,jw03055-o008_t008_nircam_clear-f150w,jw03055-o008_t008_nircam_clear-f090w,mast:JWST/product/jw03055-o008_t008_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o008_t008_nircam_clear-f090w_i2d.fits
NGC 4564,ACS-Virgo-SBF,https://arxiv.org/abs/astro-ph/0702510,False,ok,,8,8,F115W;F277W;F150W;F277W,7763,False,False,False,,,,
NGC 4565,Tonry-SBF-survey,https://arxiv.org/abs/astro-ph/9609113,False,ok,,96,32,F187N;F335M;F200W;F300M,7985,False,False,False,,,,
NGC 4578,ACS-Virgo-SBF,https://arxiv.org/abs/astro-ph/0702510,False,ok,,0,0,,,False,False,False,,,,
NGC 4579,Tonry-SBF-survey,https://arxiv.org/abs/astro-ph/9609113,False,ok,,191,35,F115W;F115W;F360M;F115W;F444W;F150W;F200W;F212N;F277W;F300M;F335M,10350;3671;3707;7763,True,False,False,jw03707-o086_t039_nircam_clear-f150w;jw07763-o001_t001_nircam_clear-f150w,,mast:JWST/product/jw03707-o086_t039_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw07763-o001_t001_nircam_clear-f150w_i2d.fits,
NGC 4600,Tonry-SBF-survey,https://arxiv.org/abs/astro-ph/9609113,False,ok,,0,0,,,False,False,False,,,,
NGC 4621,ACS-Virgo-SBF,https://arxiv.org/abs/astro-ph/0702510,True,ok,,4,4,F090W;F150W;F277W;F356W,3055,True,True,True,jw03055-o009_t009_nircam_clear-f150w,jw03055-o009_t009_nircam_clear-f090w,mast:JWST/product/jw03055-o009_t009_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o009_t009_nircam_clear-f090w_i2d.fits
NGC 4638,ACS-Virgo-SBF,https://arxiv.org/abs/astro-ph/0702510,False,ok,,0,0,,,False,False,False,,,,
NGC 4639,Tonry-SBF-survey,https://arxiv.org/abs/astro-ph/9609113,False,ok,,2,2,F115W;F356W,1995,False,False,False,,,,
NGC 4649,ACS-Virgo-SBF,https://arxiv.org/abs/astro-ph/0702510,True,ok,,4,4,F090W;F150W;F277W;F356W,3055,True,True,True,jw03055-o010_t010_nircam_clear-f150w,jw03055-o010_t010_nircam_clear-f090w,mast:JWST/product/jw03055-o010_t010_nircam_clear-f150w_i2d.fits,mast:JWST/product/jw03055-o010_t010_nircam_clear-f090w_i2d.fits
NGC 4660,ACS-Virgo-SBF;Tonry-SBF-survey,https://arxiv.org/abs/astro-ph/0702510;https://arxiv.org/abs/astro-ph/9609113,False,ok,,0,0,,,False,False,False,,,,
NGC 4725,Tonry-SBF-survey,https://arxiv.org/abs/astro-ph/9609113,False,ok,,0,0,,,False,False,False,,,,
NGC 4754,ACS-Virgo-SBF,https://arxiv.org/abs/astro-ph/0702510,False,ok,,0,0,,,False,False,False,,,,
NGC 4839,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,2,2,F150W;F356W,5989,False,False,False,,,,
NGC 4874,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,10,8,F150W;F356W,5989,True,False,False,jw05989-o007_t007_nircam_clear-f150w;jw05989-o006_t006_nircam_clear-f150w;jw05989-o008_t008_nircam_clear-f150w,,mast:JWST/product/jw05989-o007_t007_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw05989-o006_t006_nircam_clear-f150w_i2d.fits;mast:JWST/product/jw05989-o008_t008_nircam_clear-f150w_i2d.fits,
NGC 4914,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 495,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 4993,Jensen2021-MASSIVE-SBF;NGC4993-SBF,https://arxiv.org/abs/2105.08299;https://arxiv.org/abs/1801.06080,False,ok,,0,0,,,False,False,False,,,,
NGC 507,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 5128,Tonry-SBF-survey,https://arxiv.org/abs/astro-ph/9609113,False,ok,,82,18,F090W;F187N;F200W;F277W;F335M;F444W,12496,False,False,False,,,,
NGC 524,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,5,4,F090W;F150W;F277W;F356W,7034,False,False,False,,,,
NGC 5253,Tonry-SBF-survey,https://arxiv.org/abs/astro-ph/9609113,False,ok,,242,58,F090W;F444W;F115W;F140M;F150W;F182M;F187N;F200W;F277W;F300M;F335M;F360M;F430M;F444W;F405N,11571;5014,False,False,False,,,,
NGC 5322,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 533,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 5353,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 545,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 547,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 5490,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
NGC 5557,Jensen2021-MASSIVE-SBF,https://arxiv.org/abs/2105.08299,False,ok,,0,0,,,False,False,False,,,,
